division_old,state_old,ALP_old,LNP_old,GRN_old,ON_old,IND_old,OTH_old,division_key,division_corrected,state_corrected,ALP_corrected,LNP_corrected,GRN_corrected,ON_corrected,IND_corrected,OTH_corrected,ALP_pvi_delta,LNP_pvi_delta,GRN_pvi_delta,ON_pvi_delta,IND_pvi_delta,OTH_pvi_delta,ALP_old_primary,LNP_old_primary,GRN_old_primary,ON_old_primary,IND_old_primary,OTH_old_primary,ALP_corrected_primary,LNP_corrected_primary,GRN_corrected_primary,ON_corrected_primary,IND_corrected_primary,OTH_corrected_primary,ALP_primary_delta_pp,LNP_primary_delta_pp,GRN_primary_delta_pp,ON_primary_delta_pp,IND_primary_delta_pp,OTH_primary_delta_pp,max_abs_primary_delta_pp
Clark,TAS,0.0836,-0.0013,-0.005,0.0203,-0.07,-0.028999999999999998,CLARK,Clark,TAS,-0.1433892971,-0.1856637578,0.01043478958,-0.5019123704,0.4127273534,-0.07,-0.2269892971,-0.1843637578,0.01543478958,-0.5222123704,0.4827273534,-0.04100000000000001,0.42446828754843874,0.3183438107035284,0.11776874694354952,0.06394164470022498,0.02282644675816026,0.05265106334609823,0.225087861036483,0.15007906100611554,0.1460806982082911,0.058812111628292994,0.390324792583919,0.029615475536898354,-19.938042651195573,-16.826474969741287,2.8311951264741566,-0.5129533071931986,36.74983458257587,-2.3035587809199876,36.74983458257587
Tangney,WA,-0.1434,-0.1857,0.0104,-0.022400000000000003,0.4127,-0.07,TANGNEY,Tangney,WA,0.07350946225,0.02801336505,0.006130346605,-0.5806760012,-0.07,-0.01447719657,0.21690946225000002,0.21371336505,-0.004269653395,-0.5582760012,-0.4827,0.05552280343,0.22211299322081343,0.14784182920633474,0.14446624869914806,0.06961647528720975,0.3868242176542742,0.02913823593221986,0.4046110425924466,0.3400099372044684,0.12334672272924181,0.04913305580320534,0.02218693982797013,0.060712301842667696,18.24980493716332,19.21681079981337,-2.1119525969906254,-2.0483419484004415,-36.46372778263041,3.157406591044784,36.46372778263041
Hunter,NSW,-0.25670000000000004,-0.021400000000000002,-0.0861,0.0069,0.3619,-0.0039000000000000003,HUNTER,Hunter,NSW,0.08421690845,-0.1299321853,-0.04442555878,1.082608111,-0.07,0.0603060015,0.34091690845000006,-0.1085321853,0.04167444122,1.0757081110000002,-0.4319,0.0642060015,0.09929216809877282,0.3367175595087897,0.05987338474010743,0.07176110896060914,0.35462980066469024,0.07772597802703071,0.45097261947970807,0.20094642116812933,0.09133153439213475,0.1153794207086056,0.024113142847905597,0.1172568614035168,35.168045138093525,-13.577113834066035,3.145814965202732,4.361831174799646,-33.051665781678466,3.953088337648608,35.168045138093525
Indi,VIC,0.0326,-0.0022,-0.0039000000000000003,0.0028000000000000004,-0.07,0.0392,INDI,Indi,VIC,-0.2567276412,-0.0213520208,-0.0860904337,0.1131958235,0.3619326991,-0.003871218388,-0.28932764120000004,-0.0191520208,-0.0821904337,0.1103958235,0.4319326991,-0.043071218388,0.3766829645924309,0.3196908257726354,0.1194884046402333,0.06387003719336176,0.02298831991601672,0.09727944788532195,0.09864778335296133,0.33519091284416047,0.059372090992159496,0.07833933816390574,0.3509517975913043,0.07749807705550872,-27.803518123946958,1.550008707152506,-6.011631364807381,1.4469300970543983,32.79634776752876,-1.9781370829813225,32.79634776752876
McMahon,NSW,-0.1775,-0.0788,-0.0616,-0.0022,-0.07,0.376,MCMAHON,McMahon,NSW,0.122050635,-0.0566431939,-0.03847042086,0.3753389888,0.0256,-0.05685,0.299550635,0.022156806099999996,0.023129579140000002,0.3775389888,0.0956,-0.43285,0.18912769857280712,0.2735899915366763,0.08256648675803822,0.07198034085215735,0.02596810158805784,0.3567673806922631,0.45475858540577313,0.2587396102227368,0.08931162194263063,0.07750996865762232,0.0854519997579193,0.03422821401331772,26.5630886832966,-1.485038131393951,0.674513518459241,0.5529627805464967,5.948389816986146,-32.253916667894536,32.253916667894536
Gippsland,VIC,0.1116,-0.11960000000000001,-0.024399999999999998,0.0055000000000000005,-0.07,0.09539999999999998,GIPPSLAND,Gippsland,VIC,-0.1328643416,0.2014632181,-0.03719592537,0.8468778432,-0.07,-0.03401651187,-0.2444643416,0.32106321810000005,-0.012795925370000003,0.8413778432000001,0.0,-0.12941651186999997,0.46467020706248163,0.20502484204961816,0.10510907980378605,0.06525743833329595,0.023458021682564292,0.136480411068254,0.21141582466446723,0.5253596256337736,0.09229388575515962,0.09828273069557711,0.022839381563202657,0.04980855168781988,-25.32543823980144,32.03347835841554,-1.2815194048626424,3.302529236228116,-0.06186401193616353,-8.667185938043414,32.03347835841554
Bradfield,NSW,0.1867,-0.1186,-0.0348,-0.004,-0.07,0.0264,BRADFIELD,Bradfield,NSW,-0.1441302659,0.06652472639,-0.05010173437,-1.421135743,0.1749845747,-0.03228008235,-0.3308302659,0.18512472639,-0.01530173437,-1.417135743,0.2449845747,-0.05868008235,0.528912921273013,0.20145445839899837,0.09441840758060298,0.06351675454805544,0.022934035890317825,0.0887634223090123,0.21210817520291672,0.41203604462245974,0.08683029405589347,0.03579473469268623,0.1992701179471699,0.053960633478873914,-31.680474607009636,21.058158622346138,-0.7588113524709506,-2.7722019855369213,17.63360820568521,-3.4802788830138383,31.680474607009636
Barton,NSW,-0.20149999999999998,-0.0043,-0.0368,-0.0432,0.3119,-0.0351,BARTON,Barton,NSW,0.1327358933,-0.07308654816,0.02460287466,-0.07626739702,-0.07,-0.01120954093,0.3342358933,-0.06878654816,0.061402874659999995,-0.03306739702,-0.3819,0.02389045907,0.15139645582608613,0.33498987357347765,0.0981380862195858,0.06593848192375824,0.2977788977848521,0.05175820467224012,0.46761594389192557,0.24375919190586678,0.13944823666056458,0.06314382743433834,0.022466916961768633,0.0635658831455362,31.621948806583944,-9.123068166761087,4.131015044097879,-0.2794654489419901,-27.53119808230835,1.1807678473296077,31.621948806583944
Sydney,NSW,-0.13699999999999998,-0.0833,0.0095,-0.0052,-0.07,0.2846,SYDNEY,Sydney,NSW,0.2006482662,-0.1476225445,0.09663971762,-0.7532952142,-0.07,-0.05099594728,0.3376482662,-0.06432254450000001,0.08713971762,-0.7480952142,0.0,-0.33559594728000003,0.2261222644884911,0.2586429673879366,0.14177398098720712,0.06925412951920328,0.025019682778156565,0.2791869748390052,0.5306894985280942,0.16858136638652618,0.19495055082610574,0.045538743443481855,0.022327369645111325,0.03791247117068071,30.45672340396031,-9.00616010014104,5.317656983889862,-2.371538607572142,-0.269231313304524,-24.12745036683245,30.45672340396031
Goldstein,VIC,0.0998,-0.07629999999999999,-0.0074,0.0125,-0.07,0.039900000000000005,GOLDSTEIN,Goldstein,VIC,-0.2041321203,0.09761146983,-0.04714997298,-1.320444801,0.2412316468,-0.04319601009,-0.3039321203,0.17391146983,-0.039749972980000006,-1.332944801,0.31123164680000004,-0.08309601009,0.44814170256464025,0.24722344332875618,0.11786505345018507,0.06481550372416271,0.0232229787172997,0.09873131821495602,0.1468462726584934,0.4390753573372332,0.0880786827319113,0.037052122195534255,0.24314915722341812,0.04579840785340969,-30.129542990614688,19.1851914008477,-2.9786370718273765,-2.776338152862846,21.992617850611843,-5.293291036154633,30.129542990614688
